Summary Quite,edgar
http://www.nasdaq.com/symbol/xxii,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f02%2f18%2f0001144204-16-083153.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/acu,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f11%2f0001026608-16-000091.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aiii,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f15%2f0001552781-16-001406.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/atnm,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f11%2f0001213900-16-011534.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/ae,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f11%2f0000002178-16-000064.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/adk,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001004724-16-000179.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/acy,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f11%2f0001036848-16-000082.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/airi,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f04%2f0001193805-16-003011.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/axu,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f04%2f22%2f0001102624-16-002586.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/aau,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f31%2f0001102624-16-002439.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/apt,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f03%2f0001437749-16-026648.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aamc,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f02%2f29%2f0001555074-16-000051.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/dit,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f11%2f08%2f0001558370-16-009684.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/adge,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001378706-16-000176.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aln,http://secfilings.nasdaq.com/edgar_conv_html%2f2015%2f04%2f15%2f0001062993-15-001971.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/ams,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001144204-16-091106.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/ampe,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f02%2f26%2f0001193125-16-479780.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/aphb,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001144204-16-091546.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/axn,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f10%2f05%2f0001096906-16-001934.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/hrt,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f10%2f0000819689-16-000096.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/akg,http://secfilings.nasdaq.com/edgar_conv_html%2f2007%2f09%2f28%2f0001217160-07-000230.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/ainc,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f15%2f0001604738-16-000104.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/ast,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f29%2f0001140361-16-059357.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/auxo,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f30%2f0001445866-16-001814.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/awx,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f16%2f0001437749-16-027847.html#FIS_BUSINESS
http://www.nasdaq.com/symbol/asm,http://secfilings.nasdaq.com/edgar_conv_html%2f2015%2f05%2f11%2f0001477932-15-003004.html#FIS_COMPANY_INFORMATION
http://www.nasdaq.com/symbol/btn,http://secfilings.nasdaq.com/edgar_conv_html%2f2016%2f03%2f07%2f0001493152-16-007878.html#FIS_BUSINESS
